"Category","Electricity","Gas"
"Q2 2022",2350458,1480495
"Q3 2022",2414478,1586777
"Q4 2022",1275634,3173359
"Q1 2023",1632400,3346139
"Q2 2023",2716714,1412274
"Q3 2023",3103488,920888
"Q4 2023",2846916,2160354
"Q1 2024",3049884,2844073
"Q2 2024",2712907,1244271
"Q3 2024",2825066,965756
"Q4 2024",2756518,2253810
"Q1 2025",2569742,2448319
"Q2 2025",2020374,898454
"Q3 2025",2115129,920371
"Q4 2025",1820665,1512711
"Q1 2026",1661980,1565004
