"
","£/week"
"British Gas",5.95
"E.ON",4.76
"Good Energy",5.32
"Octopus Energy",3.3
"Ovo Energy",4.93
"Scottish Power",6.31
"Utilita",2.69
"Utility Warehouse",3.64
"Tru Energy",17.17
